序号,文件名,所属章节,图型,必要性与论证目标,正文位置
1,route,问题分析,流程图,统一四问的信息时序与求解关系,问题分析总述后
2,data-overview,数据处理,双轴时序图+热力图,展示典型日负荷光伏电价及全年光伏季节性,数据特征分析
3,q1-flow,问题一,能量流示意图,解释变量方向与储能边界,问题一模型后
4,q1-operation,问题一,下载版风格功率时序+SOC轨迹,验证最优购电和SOC可行性,问题一结果后
5,q2-diagnostics,问题二,散点图+箱线图,比较预测拟合与残差结构,预测模型比较后
6,q2-safe,问题二,下载版折线图+风险带,解释分位风险修正如何作用,风险修正模型后
7,q2-days,问题二,季节小倍图,验证策略在四个代表日的运行差异,问题二结果后
8,q2-sensitivity,问题二,双点图,展示费用与应急购电权衡,问题二参数选择后
9,q3-forecast-quality,问题三,双折线图,为分提前期风险尺度提供数据证据,官方预报校正后
10,q3-contract,问题三,阶梯线+SOC轨迹,展示更新时点如何改变合同,购电调整模型后
11,q3-ablation,问题三,下载版双面板柱状图,比较八组更新集合的信息价值,信息消融表后
12,q3-time-value,问题三,下载版柱状图+折线图,比较官方更新时间边际收益和信息组合盈亏平衡成本,信息消融图后
13,q4-price-diagnostics,问题四,六边形密度图+箱线图,展示价格预测的拟合和误差分布,价格预测模型后
14,q4-outcome,问题四,双哑铃图,区分合同调整权与价格信息价值,问题四结果后
15,risk-stability,模型检验,箱线图+月度点图,检查尾部风险与跨月稳定性,尾部风险分析后
16,sensitivity-overview,模型检验,龙卷风图+压力折线,概括物理参数和预测误差敏感性,敏感性分析后
